"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 5:23:56 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,spa_01_adjTry3
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,spa_01
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production","ChlA (depth integrated)"
"Layer 1 Surface temp","Temperature - surface"
"Layer 2 Bottom temp","Temperature - bottom"
"Layer 3 PP","ChlA (depth integrated)"
"Layer 4 Average temp","Salinity - average"
"Layer 5 Salinity","Salinity - average"
"<HEADER end/>"

Data,"Average biomass across modeled area"
"Modeled area km2",494806.705026413
"Number of cells",2245

TimeStep,"Coastal dolphins","Offshore dolphins","Baleen whales",Seabird,"Sea turtle","Blacktip shark","Dusky shark","Sandbar shark","Large coastal sharks","Large oceanic sharks","Atlantic sharpnose shark","Small coastal sharks","Yellowfin tuna","Bluefin tuna","Other tunas",Billfish,Swordfish,"Pelagic coastal piscivores",Amberjack,Cobia,"King mackerel (0-1yr)","King mackerel (1+yr)","Spanish mackerel (0-1yr)","Spanish mackerel (1+yr)",Skates-rays,"Gag grouper (0-3yr)","Gag grouper (3+yr)","Red grouper (0-3yr)","Red grouper (3+yr)","Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)","Goliath grouper","Deep-water grouper","Shallow-water grouper","Red snapper (0yr)","Red snapper (1-2yr)","Red snapper (3+yr)","Vermilion snapper","Mutton snapper","Other snapper","Inshore coastal piscivores","Sea trout","Oceanic piscivores","Benthic piscivores","Reef piscivores","Reef invertebrate feeders","Demersal coastal invertebrate feeders","Red drum","Benthic coastal invertebrate feeders",Tilefish,"Gray triggerfish","Coastal omnivores","Reef omnivores","Surface pelagics","Large oceanic planktivores","Oceanic planktivores",Sardine-herring-scad,"Menhaden (0yr)","Menhaden (1yr)","Menhaden (2yr)","Menhaden (3yr)","Menhaden (4yr)",Anchovy-silverside-killifish,Mullet,Butterfish,Cephalopod,"Pink shrimp","Brown shrimp","White shrimp",Crab,"Sessile epifauna","Mobile epifauna",Zooplankton,Infauna,Algae,Seagrass,Phytoplankton,Detritus
69,0.02404175,0.002042308,0.001692493,0.03496806,0.02643418,0.1779808,0.007710851,0.002983886,0.04816137,0.002505121,0.0109384,0.002484275,0.0008068433,0.01512106,0.006733137,0.002757908,0.000680029,0.03260214,0.001722248,0.02890501,8.948007E-05,0.0422267,6.815617E-05,0.01788732,0.0733065,0.003026371,0.003310857,0.0001355521,0.0009581075,4.78554E-05,0.001064277,0.0003701455,0.0003358512,0.02548501,0.0002884373,0.002292284,0.001163051,5.07391E-06,3.780545E-05,0.001827,0.05172343,0.007156713,0.07100497,0.003603988,0.0165249,0.001448431,0.01279421,0.009695492,8.87991,0.0001314372,0.01743048,0.152151,1.770725,0.1452024,0.000458552,0.0003181308,0.01700866,0.2131829,0.3652098,0.0765634,0.0356478,0.04300828,0.03872435,0.01993228,0.0002435667,1.829898,0.01140289,0.003869215,0.01927495,0.07410729,20.04497,1.21895,7.751632,7.73918,16.41828,3.086559,13.55744,30.84227
70,0.02405168,0.002034698,0.001690005,0.03495499,0.02645507,0.1780789,0.007725093,0.002979045,0.04821033,0.0024948,0.01090716,0.00248237,0.0008085007,0.01522477,0.006730983,0.002758113,0.0006787244,0.03295838,0.001720762,0.0294545,8.821824E-05,0.04172778,6.692857E-05,0.01726008,0.07325226,0.003270941,0.003328555,0.0001374695,0.0009882223,4.851102E-05,0.001065826,0.000373317,0.0003340461,0.02700465,0.0002664131,0.002125869,0.001140324,5.068462E-06,3.743101E-05,0.001817526,0.0508981,0.007425038,0.07167049,0.003570465,0.01654594,0.00142974,0.01257343,0.009523211,8.879536,0.0001312761,0.01740785,0.1525054,1.794265,0.1478113,0.0004561352,0.0003095639,0.01699059,0.2098888,0.3964281,0.0887096,0.03804736,0.04629534,0.04096516,0.02068298,0.000241484,1.891429,0.0134131,0.005027368,0.02664755,0.07580549,21.2234,1.445328,8.933073,8.008155,15.40235,2.655287,11.59018,29.50284
71,0.02406258,0.002027266,0.001688674,0.03495086,0.02647292,0.1781375,0.007740672,0.002975216,0.04826606,0.002484956,0.0108494,0.002482558,0.0008095591,0.01532942,0.006733785,0.00275913,0.0006784709,0.03427787,0.001720215,0.03001679,8.641074E-05,0.04117675,6.8082E-05,0.01680744,0.07318944,0.00348023,0.003353835,0.000136595,0.001018245,4.874997E-05,0.001068939,0.00038815,0.0003324139,0.02801158,0.0002587345,0.002022536,0.001106441,5.085272E-06,3.712005E-05,0.001803942,0.05014917,0.008366628,0.07205477,0.003542273,0.01654245,0.001410285,0.01244906,0.009367995,8.992495,0.0001315987,0.01738653,0.1527205,1.811431,0.1516467,0.0004543855,0.000312205,0.01701896,0.1928783,0.4150076,0.09794728,0.03872615,0.0490085,0.04626531,0.0224352,0.000237419,1.994336,0.01347386,0.005564898,0.03607806,0.07741514,22.21124,1.736084,9.219385,7.819756,12.78212,2.403181,8.760801,26.37553
72,0.02407629,0.002020155,0.001688136,0.0349663,0.02649233,0.1781712,0.007756438,0.002972273,0.04832543,0.002475346,0.01078421,0.002485349,0.0008104849,0.01543501,0.006738183,0.002760957,0.0006785541,0.03492439,0.001720749,0.02971405,8.543516E-05,0.04075133,7.06466E-05,0.01661284,0.0731695,0.003413424,0.003364643,0.0001351697,0.001026118,4.918483E-05,0.00107258,0.0003946495,0.0003313817,0.02695265,0.0002710349,0.001974528,0.001094192,5.110941E-06,3.686158E-05,0.001791312,0.04974602,0.009407315,0.07231551,0.003526513,0.01652285,0.001406276,0.01257067,0.009292643,9.153749,0.0001320534,0.01737578,0.1527161,1.820103,0.1545204,0.0004527972,0.0003200365,0.01735463,0.1706962,0.4130845,0.1019938,0.03789349,0.04881763,0.05148103,0.02372564,0.0002359877,2.13316,0.01149948,0.005256163,0.04293398,0.07873543,22.69563,1.914592,8.408218,7.291748,10.01587,2.666536,6.449808,21.28617
73,0.02409329,0.002013288,0.001687822,0.03500659,0.02651533,0.1782175,0.00777217,0.002968693,0.04837511,0.002465489,0.01061531,0.002486669,0.0008116383,0.01554194,0.006608569,0.002761881,0.0006787129,0.03467106,0.001723851,0.02862665,8.799419E-05,0.04064881,6.181311E-05,0.01631732,0.0731855,0.003148363,0.003321095,0.0001332924,0.0009960823,4.941283E-05,0.001075501,0.0003912985,0.0003312044,0.02489618,0.0002655315,0.001929338,0.001058344,5.113929E-06,3.652159E-05,0.00177938,0.04962475,0.01013406,0.07254314,0.003510843,0.01648349,0.001405505,0.01255209,0.009262872,9.272107,0.0001322008,0.01729172,0.1523717,1.818954,0.1549476,0.0004509994,0.0003293577,0.01772531,0.1480758,0.394628,0.0988443,0.03563809,0.04775668,0.05266825,0.02409727,0.0002341072,2.269,0.008923188,0.003966368,0.04263304,0.07890904,22.81289,1.905933,6.906515,6.591294,8.049281,3.385816,5.074296,16.42964
74,0.02411073,0.002006589,0.001687218,0.03506808,0.02653841,0.1782098,0.007786818,0.00296398,0.04841609,0.002455613,0.01043315,0.002487697,0.000812861,0.01564856,0.006456997,0.002761606,0.0006788312,0.03459559,0.001726283,0.02770329,8.922222E-05,0.04066118,5.379942E-05,0.01608234,0.07320986,0.002927304,0.003265478,0.0001324176,0.0009616383,4.967206E-05,0.001077128,0.0003846244,0.0003315679,0.02290783,0.0002592617,0.001916528,0.001040751,5.08908E-06,3.62385E-05,0.001771373,0.04975482,0.01082523,0.07276473,0.003498424,0.01643018,0.001406198,0.01241385,0.00931681,9.417349,0.0001320873,0.01719239,0.1514717,1.80574,0.1546951,0.0004488088,0.000338414,0.01785923,0.1323913,0.3616533,0.09224057,0.03242983,0.04496298,0.05438222,0.02440314,0.0002341201,2.323678,0.006753128,0.003163713,0.04177128,0.07792608,22.21121,1.84674,5.300797,5.748315,7.169702,4.41643,4.681384,13.20714
75,0.02412575,0.001999934,0.001685875,0.03513913,0.02656111,0.178116,0.007799483,0.00295787,0.04844617,0.002445763,0.0102618,0.002487191,0.0008139517,0.015754,0.006312232,0.002760335,0.0006788142,0.03577811,0.001726793,0.02785843,9.098287E-05,0.04064358,4.715739E-05,0.01595544,0.07319197,0.003006917,0.003235034,0.0001336775,0.000959202,5.01124E-05,0.001077337,0.0003840178,0.0003320986,0.02255872,0.0002603879,0.001892762,0.001035128,5.033397E-06,3.644687E-05,0.001771767,0.05003427,0.01140725,0.07298143,0.003485545,0.01637507,0.001408725,0.01208515,0.009438097,9.544656,0.0001318899,0.01709281,0.1500065,1.781313,0.1544931,0.0004461901,0.0003464659,0.01769032,0.1246926,0.3256127,0.08345018,0.02949082,0.04213263,0.05743024,0.02485689,0.0002353529,2.271467,0.005377317,0.002755326,0.03991785,0.07583658,21.16169,1.785136,4.023101,4.953168,7.780711,5.809342,5.711,11.99405
76,0.02413591,0.001993196,0.00168362,0.03520441,0.02658366,0.1779061,0.007809792,0.002950953,0.04846395,0.002436336,0.0100987,0.002484858,0.0008148437,0.01585867,0.006174463,0.002758894,0.0006786085,0.03734238,0.001726083,0.02852888,8.945735E-05,0.04043459,4.244246E-05,0.01588206,0.07312536,0.003265061,0.003246429,0.0001351237,0.0009941794,5.02823E-05,0.001076267,0.0003974197,0.0003324948,0.02396072,0.0002694687,0.001909491,0.00106752,4.951185E-06,3.686615E-05,0.001779865,0.05042591,0.01180681,0.07320358,0.003477514,0.01632474,0.00141089,0.01162175,0.009610754,9.634156,0.0001317042,0.01699135,0.1482228,1.753094,0.153635,0.0004431898,0.0003530509,0.0173059,0.125008,0.2966435,0.07361187,0.02774996,0.03982323,0.06014571,0.02528269,0.0002365792,2.145146,0.005523433,0.002568069,0.03777644,0.07299923,20.08167,1.724549,3.283291,4.400463,9.646304,7.02353,8.193856,13.49555
77,0.02414356,0.001986227,0.001680097,0.03525572,0.02660659,0.1776718,0.007818506,0.002944358,0.04847444,0.002427032,0.009959042,0.002481405,0.000815668,0.01596336,0.006057817,0.002758169,0.0006781329,0.03774837,0.001725513,0.02931762,8.792024E-05,0.04039522,4.151848E-05,0.01590572,0.07304146,0.003484742,0.003276986,0.0001357544,0.001029605,5.026476E-05,0.001074529,0.0004101875,0.0003325793,0.02605408,0.0002812218,0.002007311,0.001149536,4.853294E-06,3.734777E-05,0.001791971,0.05085322,0.01107056,0.07349147,0.003475371,0.01629687,0.001415893,0.01118257,0.009773274,9.571507,0.0001315392,0.01689075,0.1466012,1.732312,0.152414,0.0004399157,0.0003526888,0.01686361,0.1342825,0.2853082,0.06549954,0.02753769,0.03888253,0.05955973,0.0250122,0.0002390438,1.993282,0.006528084,0.002660118,0.03557082,0.07018109,19.51741,1.701607,3.131315,4.327949,12.06459,7.084666,11.58223,17.64028
78,0.02415461,0.001979093,0.00167559,0.03528922,0.02663438,0.1775878,0.007827247,0.002939435,0.04848793,0.002417776,0.009884367,0.002477882,0.0008178841,0.01606948,0.005957073,0.002758625,0.0006767063,0.03662075,0.001726855,0.02952451,8.592709E-05,0.04076467,4.159675E-05,0.01587684,0.07298625,0.003471687,0.003307152,0.0001368781,0.001049871,5.031579E-05,0.001074126,0.0004065997,0.0003327592,0.02601971,0.0002858434,0.00214287,0.001207459,4.754307E-06,3.730945E-05,0.001802252,0.05118,0.009721464,0.07411884,0.003477104,0.016325,0.001421778,0.0112002,0.009874796,9.436322,0.0001313039,0.01681099,0.1457933,1.727411,0.1506047,0.0004363362,0.000345819,0.01667165,0.1539531,0.2955341,0.06081173,0.02838449,0.03922663,0.05472795,0.02399997,0.0002422254,1.877766,0.007745903,0.002712318,0.0305908,0.06801234,19.22009,1.584266,3.585824,4.844946,14.00425,5.760078,14.01615,23.31848
79,0.02416754,0.001972034,0.001670639,0.03530252,0.02666539,0.1776825,0.007837019,0.002935575,0.04850748,0.00240883,0.009849156,0.002474726,0.0008209373,0.01616561,0.005786562,0.002756635,0.0006720356,0.03505071,0.001728993,0.02886492,8.446611E-05,0.04098133,4.183219E-05,0.0155857,0.0729733,0.003289615,0.00330213,0.0001373944,0.001031182,5.057492E-05,0.001074332,0.0003960496,0.0003325674,0.02474537,0.000271949,0.002188717,0.001212713,4.667299E-06,3.703496E-05,0.001808431,0.05116706,0.008361822,0.07490404,0.003471642,0.01637186,0.00142303,0.01132784,0.009853879,9.28771,0.0001309892,0.01674538,0.1456925,1.738409,0.1480758,0.0004323326,0.0003372216,0.0167253,0.1769551,0.3161997,0.06079153,0.02959052,0.03991296,0.04906485,0.02279478,0.0002440677,1.807553,0.008508508,0.002589406,0.02544721,0.06684536,19.21258,1.424857,4.592081,5.771505,15.63652,4.500679,15.42277,27.8209
80,0.02418099,0.001965078,0.00166592,0.03530054,0.02669455,0.1779518,0.007849011,0.00293242,0.04853688,0.002400171,0.009844225,0.002471469,0.000824399,0.01625911,0.0055946,0.002752182,0.0006651299,0.03341666,0.001731186,0.0279276,8.079979E-05,0.04098571,4.288257E-05,0.01519853,0.07298725,0.00310067,0.003270591,0.0001382316,0.001002094,5.06445E-05,0.001076178,0.0003834853,0.0003318899,0.02326609,0.0002541317,0.002149214,0.001204789,4.601572E-06,3.669532E-05,0.001804847,0.0506013,0.007162973,0.07575945,0.003449772,0.01640787,0.001415098,0.01113566,0.009705563,9.136537,0.0001306582,0.01668922,0.1461078,1.762322,0.1458024,0.0004282581,0.0003283159,0.01676629,0.1958435,0.3450562,0.06695719,0.0315632,0.04225073,0.0436663,0.02157883,0.0002432998,1.7915,0.009142054,0.002485256,0.02097144,0.06687562,19.49029,1.273387,6.106301,6.854204,16.33545,3.655543,14.78441,30.78379
81,0.0241953,0.001958087,0.001662159,0.0352916,0.02672019,0.1782418,0.007862076,0.002928812,0.04857096,0.002391156,0.009837154,0.002465834,0.0008276809,0.01636203,0.005514664,0.002749688,0.0006611344,0.03182095,0.001732969,0.02799865,8.263842E-05,0.04156364,4.485611E-05,0.01475401,0.07297305,0.003073234,0.003245571,0.0001400733,0.0009907217,5.076396E-05,0.00108062,0.0003711353,0.0003307151,0.02329862,0.0002421054,0.002092411,0.001204536,4.563035E-06,3.626833E-05,0.001799771,0.0497937,0.00615214,0.07661854,0.003417881,0.01646699,0.001401684,0.01101682,0.009522116,8.96541,0.0001302605,0.0166273,0.1465852,1.790425,0.1463819,0.0004249678,0.0003192082,0.01694719,0.20795,0.3755334,0.08043163,0.03347809,0.04564553,0.03880539,0.02040693,0.0002430012,1.826946,0.01079473,0.003320047,0.0178264,0.06795897,20.02867,1.217946,7.759464,7.740229,16.4172,3.086482,13.55334,30.83609
82,0.02420544,0.001951238,0.001659982,0.03527622,0.02674037,0.1783498,0.007876151,0.002924678,0.04860783,0.00238211,0.009751271,0.002459991,0.0008295582,0.01646778,0.005450081,0.002748975,0.0006598951,0.03221318,0.001734603,0.02854739,8.199442E-05,0.04107266,4.411625E-05,0.0142334,0.07290374,0.003337499,0.003258924,0.0001418656,0.001021882,5.117726E-05,0.001082539,0.0003741216,0.0003291638,0.02474712,0.0002205858,0.00194235,0.001161276,4.550747E-06,3.587078E-05,0.001791892,0.0488576,0.006441805,0.07735029,0.003383429,0.01650797,0.001383134,0.01071889,0.009345996,8.966509,0.0001300243,0.01655386,0.1468793,1.814315,0.1489998,0.0004229336,0.0003108502,0.01692751,0.2075746,0.3998072,0.09476215,0.03458759,0.04930148,0.04105721,0.02117188,0.0002408475,1.889163,0.0126989,0.004304877,0.02517715,0.06945575,21.20561,1.443813,8.941709,8.007768,15.40005,2.652297,11.58882,29.49512
83,0.02421654,0.001944653,0.001658975,0.03527013,0.02675741,0.1784178,0.007891581,0.002921548,0.04865221,0.002373488,0.009643186,0.002456731,0.000830829,0.01657438,0.005392567,0.002749184,0.0006596717,0.03357049,0.00173711,0.02910623,8.090877E-05,0.04053804,4.545928E-05,0.013875,0.07282698,0.003555471,0.003290504,0.0001409397,0.001052869,5.141472E-05,0.001085834,0.0003888911,0.0003277878,0.02570976,0.0002155392,0.00184573,0.001106504,4.559177E-06,3.553832E-05,0.00177985,0.04802432,0.007382553,0.0777797,0.003354495,0.0165231,0.001363828,0.01051156,0.009188494,9.081097,0.0001302907,0.01648781,0.1470472,1.831787,0.1528565,0.0004215647,0.0003136331,0.01695378,0.1968329,0.4085127,0.1054153,0.03498029,0.05158105,0.04637526,0.02294173,0.0002367258,1.9929,0.01267316,0.004719862,0.03447657,0.07088923,22.19084,1.734009,9.22563,7.817564,12.77884,2.397197,8.761471,26.36961
84,0.02423047,0.001938334,0.001658764,0.0352842,0.02677602,0.17846,0.007907243,0.002919319,0.048701,0.00236508,0.009534734,0.002456566,0.0008319649,0.01668166,0.00534019,0.002750284,0.0006597542,0.03424941,0.00174061,0.02879534,8.058711E-05,0.04012279,4.730351E-05,0.01371465,0.07279319,0.003498367,0.003302072,0.0001392833,0.001060728,5.201871E-05,0.00108894,0.0003952872,0.0003270069,0.02472359,0.0002300744,0.001797916,0.001073816,4.575897E-06,3.526121E-05,0.001768712,0.0475488,0.008401455,0.07807618,0.003337946,0.01652077,0.00135984,0.01052737,0.009111999,9.243148,0.0001306994,0.01643904,0.1470003,1.840669,0.1557468,0.0004203545,0.000321582,0.01728596,0.1788873,0.402063,0.1084515,0.03427775,0.05066539,0.05160973,0.02425211,0.0002352653,2.132655,0.01067545,0.004400111,0.04113159,0.07203988,22.67301,1.911981,8.409493,7.288242,10.01239,2.657563,6.451138,21.28254
85,0.02424774,0.001932246,0.001658772,0.03532359,0.02679824,0.1785282,0.00792262,0.002918279,0.04877283,0.002356462,0.009457191,0.002458961,0.0008325687,0.01678441,0.005198435,0.002751657,0.0006600367,0.03410272,0.001737145,0.02774925,8.509935E-05,0.0400361,4.806522E-05,0.01371823,0.07284953,0.003217389,0.003262392,0.0001375989,0.001027885,5.256003E-05,0.001091609,0.0003919567,0.0003267791,0.02313711,0.0002451889,0.001750699,0.001010529,4.584958E-06,3.511189E-05,0.001762683,0.04750169,0.00932612,0.07833656,0.003342324,0.01648021,0.00136247,0.01062969,0.009118012,9.363344,0.0001312871,0.01641523,0.146968,1.840167,0.1561735,0.0004189331,0.0003310176,0.01765285,0.1584895,0.3825223,0.1050035,0.03240393,0.04911657,0.05280809,0.02467776,0.0002338567,2.269355,0.008273995,0.003504378,0.04115091,0.07247332,22.78904,1.903086,6.903488,6.587308,8.046144,3.374084,5.075491,16.4268
86,0.02426542,0.001926313,0.001658493,0.03538463,0.02682076,0.1785468,0.007936851,0.00291672,0.04884678,0.00234783,0.009391514,0.002462148,0.0008330007,0.01688482,0.005046552,0.002752273,0.0006603536,0.03415466,0.001730104,0.02688277,8.857428E-05,0.04006718,4.549307E-05,0.01373719,0.07293136,0.002986851,0.003206242,0.0001368345,0.0009908557,5.332935E-05,0.001092864,0.0003853306,0.000327001,0.02162954,0.0002507719,0.001730184,0.0009713167,4.572546E-06,3.508415E-05,0.00176167,0.0477557,0.01027157,0.07859106,0.003355664,0.01642009,0.001367542,0.01068633,0.00921835,9.510842,0.0001317718,0.01640097,0.1464959,1.827665,0.1559104,0.0004171156,0.0003401887,0.01778397,0.140673,0.3547571,0.09526908,0.03016905,0.04571958,0.05453471,0.02504665,0.0002344724,2.324622,0.006290903,0.002976155,0.04068654,0.07188886,22.18664,1.843804,5.296048,5.743878,7.166782,4.402604,4.68202,13.20392
87,0.02428078,0.001920426,0.00165755,0.0354559,0.02684285,0.1784803,0.007949145,0.002914019,0.04891431,0.002339224,0.009329358,0.002463954,0.0008332305,0.01698347,0.004904498,0.002752162,0.0006606188,0.03548252,0.00172048,0.02710496,9.227563E-05,0.04006211,4.220576E-05,0.01380547,0.07297271,0.003059745,0.003178073,0.0001381737,0.0009875223,5.358972E-05,0.001093475,0.0003848445,0.0003273782,0.02167723,0.0002591511,0.001695917,0.0009510889,4.532721E-06,3.557161E-05,0.001769133,0.04816133,0.01110868,0.07884023,0.003369218,0.01635682,0.001374662,0.01058409,0.009387867,9.640627,0.0001322211,0.01638734,0.1454902,1.803889,0.1556885,0.000414869,0.0003483575,0.01761361,0.1295814,0.3250749,0.08384308,0.02835243,0.04225502,0.05760452,0.02556466,0.0002363204,2.272674,0.005063901,0.002699573,0.03917639,0.0702318,21.13643,1.782148,4.01842,4.948384,7.777256,5.793766,5.711357,11.98995
88,0.02429134,0.001914447,0.001655614,0.0355216,0.02686489,0.178298,0.007959135,0.002910649,0.04897068,0.002330988,0.009261559,0.002463875,0.0008332564,0.01708169,0.004771289,0.002752159,0.0006607841,0.03720257,0.001710186,0.02784354,9.185292E-05,0.03987725,3.948999E-05,0.01385507,0.07296918,0.003316991,0.00318901,0.0001397884,0.001023557,5.360522E-05,0.001092659,0.0003985113,0.000327635,0.02343988,0.0002747386,0.001690962,0.0009722594,4.46831E-06,3.627161E-05,0.001784113,0.048678,0.01174508,0.07909504,0.003386584,0.01629829,0.001381399,0.01035016,0.009607669,9.732508,0.0001326855,0.01636579,0.1441652,1.776263,0.1547988,0.0004122371,0.0003550629,0.0172285,0.1275357,0.2999138,0.07255483,0.02757252,0.03950467,0.06034131,0.02605422,0.0002381258,2.146397,0.005318048,0.002565072,0.03729839,0.06780934,20.05582,1.721615,3.278914,4.395489,9.641857,7.008188,8.194765,13.49038
89,0.02429953,0.001908246,0.001652411,0.03557306,0.02688733,0.1780912,0.007967598,0.002907684,0.04901963,0.002322847,0.009204768,0.00246264,0.0008332711,0.01718098,0.004660388,0.002753165,0.0006607707,0.03775249,0.001701111,0.02869614,9.047017E-05,0.03987698,3.993259E-05,0.01397282,0.07294892,0.003533426,0.003223482,0.000140567,0.001059719,5.345804E-05,0.001090858,0.0004115687,0.0003276018,0.02592941,0.0002898098,0.001767012,0.001042327,4.388835E-06,3.70247E-05,0.001802843,0.04920996,0.01120381,0.07942151,0.003408351,0.01626266,0.001390754,0.01012553,0.00981484,9.671162,0.0001331529,0.0163383,0.1429842,1.756101,0.1535394,0.0004093298,0.0003548529,0.01678523,0.1364928,0.2892453,0.06403203,0.02813048,0.03815144,0.05976536,0.02584513,0.0002411262,1.994442,0.006400878,0.002676706,0.03528427,0.06534222,19.49167,1.698913,3.1261,4.32322,12.05913,7.068621,11.58534,17.63506
90,0.0243112,0.001901874,0.001648217,0.03560674,0.02691473,0.1780374,0.007976176,0.002906529,0.04907158,0.002314753,0.009204957,0.002461339,0.0008347426,0.01728268,0.004567404,0.002755611,0.0006599026,0.03674017,0.001695112,0.02895699,8.913314E-05,0.0402776,4.072423E-05,0.0140568,0.07295688,0.003523151,0.003249801,0.0001421163,0.001081443,5.331929E-05,0.001090759,0.0004080952,0.0003276799,0.02621913,0.0002983276,0.001881039,0.00109662,4.307768E-06,3.723524E-05,0.001819408,0.0496247,0.00999382,0.08011516,0.003432412,0.01628325,0.001400695,0.01031735,0.009957884,9.536938,0.0001335247,0.0163258,0.1425838,1.751952,0.1516925,0.0004061099,0.0003482218,0.01659168,0.1567106,0.2981454,0.05987594,0.02938004,0.0382648,0.05492999,0.02488758,0.0002448032,1.878692,0.00767664,0.002735147,0.03043852,0.06344726,19.19458,1.582303,3.57705,4.840647,13.99857,5.745033,14.02204,23.31569
91,0.02432492,0.001895536,0.001643577,0.03561987,0.02694544,0.1781666,0.007985914,0.002906536,0.04912995,0.002306964,0.009237861,0.002460389,0.0008370833,0.01737429,0.004420005,0.002755719,0.0006558601,0.03526606,0.001690605,0.02833857,8.767822E-05,0.04051416,4.115567E-05,0.01387781,0.07300655,0.003339543,0.003243721,0.0001431298,0.001062372,5.313649E-05,0.001091735,0.0003975692,0.0003274047,0.025177,0.0002856536,0.001916518,0.001107254,4.237135E-06,3.719149E-05,0.00183151,0.04968282,0.008722037,0.08097858,0.003447507,0.01632283,0.001405714,0.01059685,0.009974325,9.389035,0.0001337955,0.01632223,0.1428638,1.763809,0.1491255,0.0004024503,0.0003398437,0.01664221,0.181568,0.3173474,0.06015627,0.03039584,0.03898063,0.04925673,0.02372804,0.000247116,1.808067,0.008482692,0.002613164,0.02538442,0.06249308,19.18705,1.423727,4.576667,5.767684,15.63052,4.488536,15.4316,27.82143
92,0.02433921,0.001889267,0.001639163,0.03561739,0.02697439,0.1784738,0.007997999,0.002907329,0.04919897,0.00229946,0.009295709,0.002459305,0.0008398407,0.01746314,0.004257459,0.002753443,0.0006496172,0.03371315,0.00168658,0.02743571,8.428528E-05,0.04055753,4.183675E-05,0.01362733,0.07308271,0.003144049,0.003216502,0.0001439557,0.001033112,5.334069E-05,0.001093628,0.0003850062,0.0003266556,0.02385866,0.0002690135,0.001882418,0.001106808,4.185707E-06,3.706872E-05,0.001833319,0.04917007,0.007571359,0.08191729,0.00344434,0.01635151,0.00140127,0.01055439,0.009859129,9.238249,0.0001340344,0.01632345,0.1436422,1.788733,0.1468166,0.0003987046,0.0003311173,0.01667782,0.2024338,0.3459476,0.06702296,0.03253215,0.04130016,0.0438446,0.02254852,0.0002467682,1.791348,0.009149068,0.002507841,0.02096554,0.06269088,19.46456,1.272885,6.082681,6.850949,16.32957,3.646296,14.79551,30.78887
93,0.02435437,0.001882988,0.001635698,0.03560777,0.02699983,0.178802,0.00801125,0.002907688,0.04927371,0.002291629,0.009345756,0.002455819,0.0008424185,0.01756257,0.004187034,0.002753382,0.0006463823,0.03218604,0.001682387,0.02754786,8.568561E-05,0.0411618,4.351622E-05,0.0133431,0.0731297,0.003117887,0.003191167,0.00014565,0.001022072,5.316421E-05,0.001098611,0.0003726674,0.0003254162,0.02407681,0.0002565215,0.001824919,0.001116346,4.159187E-06,3.68468E-05,0.001833142,0.04839477,0.006580949,0.08286136,0.003429558,0.01640316,0.001391113,0.01056728,0.009705466,9.066675,0.000134191,0.01631485,0.144476,1.818022,0.1473712,0.0003957449,0.0003221951,0.01685222,0.2113614,0.3825844,0.07825273,0.03514339,0.0444459,0.03896946,0.02140467,0.000246881,1.825872,0.01082975,0.003352334,0.01785625,0.06391787,20.00281,1.217957,7.728304,7.7377,16.41267,3.081354,13.56487,30.84624
94,0.02436537,0.001876876,0.001633785,0.03559135,0.0270197,0.1789461,0.008025601,0.002907527,0.04935181,0.002283767,0.009309464,0.002452111,0.0008436345,0.0176656,0.004123634,0.002755314,0.0006459669,0.0326759,0.001678442,0.02813932,8.482243E-05,0.04067434,4.273356E-05,0.01299118,0.07312058,0.003381593,0.003205245,0.0001477993,0.001056992,5.3445E-05,0.001100976,0.0003758483,0.0003238068,0.02585885,0.0002318839,0.001676789,0.001085315,4.156779E-06,3.664201E-05,0.001829622,0.04746587,0.006897441,0.08366871,0.003410694,0.01643694,0.001375492,0.01038422,0.009556353,9.065854,0.0001344989,0.01629033,0.1451241,1.84308,0.1499515,0.0003940578,0.0003140172,0.01682489,0.2066761,0.4130832,0.09100957,0.03716612,0.04786446,0.04123781,0.02219546,0.0002450992,1.886947,0.01276022,0.004355622,0.02524291,0.06556364,21.1792,1.444159,8.909214,8.004726,15.39725,2.649812,11.59716,29.51025
